datetime(PDT),elapsed time,lat,lon,distance_to_goal,area_ratio,target_azimuth,isReach_goal
2023-09-06 17:41:55.679922,302.89510321617126,35.924265,139.912061,2.6528692311611164,58,91.77604425335875,0
2023-09-06 17:41:56.679572,303.8947615623474,35.924265,139.91206,2.65685754921345,0,0,0
2023-09-06 17:41:57.714662,304.9298417568207,35.924268,139.91206,2.989176826755154,0,0,0
2023-09-06 17:41:58.711806,305.9269857406616,35.924267,139.912058,2.8941924108504433,0,0,0
2023-09-06 17:41:59.712499,306.92767882347107,35.924266,139.912053,2.8747266075747033,0,0,0
2023-09-06 17:42:00.716476,307.93165731430054,35.924266,139.912052,2.9009566005537275,0,0,0
2023-09-06 17:42:01.718815,308.93399262428284,35.924266,139.912052,2.9009566005537275,0,0,0
2023-09-06 17:42:02.776080,309.99125933647156,35.924265,139.912043,3.148218940202953,0,0,0
2023-09-06 17:42:03.789609,311.00478887557983,35.924266,139.912045,3.1515332304777246,0,0,0
2023-09-06 17:42:06.835649,314.05082607269287,35.924267,139.912046,3.208124425176447,41,65.14841414028785,0
2023-09-06 17:42:09.932634,317.1478111743927,35.924267,139.912043,3.3372918099531943,10,29.538782259558104,0
2023-09-06 17:42:10.933433,318.1486163139343,35.924266,139.912045,3.1515332304777246,0,0,0
2023-09-06 17:42:11.936816,319.15199542045593,35.924271,139.912055,3.373915488190104,0,0,0
2023-09-06 17:42:12.992027,320.2072069644928,35.924273,139.912056,3.5780429901773387,0,0,0
2023-09-06 17:42:13.990910,321.2060902118683,35.92427,139.912062,3.2067253575322496,0,0,0
2023-09-06 17:42:14.992203,322.20738315582275,35.924268,139.912062,2.9848139392084523,0,0,0
2023-09-06 17:42:18.079337,325.2945213317871,35.924268,139.912063,2.9867234865146663,11,75.830881585886,0
2023-09-06 17:42:21.227858,328.44303727149963,35.924274,139.912064,3.6559004272507454,27,68.66496832476514,0
2023-09-06 17:42:22.298544,329.51372385025024,35.924283,139.912069,4.6943137921616165,0,0,0
2023-09-06 17:42:23.298348,330.51353573799133,35.924278,139.912073,4.217260320942007,0,0,0
2023-09-06 17:42:24.334220,331.549400806427,35.924278,139.912073,4.217260320942007,0,0,0
2023-09-06 17:42:25.336525,332.5517041683197,35.924278,139.912076,4.290215127739584,0,0,0
2023-09-06 17:42:28.372712,335.5878884792328,35.924277,139.912078,4.24321577233088,3,18.424811182603776,0
2023-09-06 17:42:29.420150,336.6353325843811,35.924275,139.912079,4.0691800692408675,0,0,0
2023-09-06 17:42:30.413003,337.62818145751953,35.924276,139.912078,4.139229355780892,0,0,0
2023-09-06 17:42:31.410001,338.6251816749573,35.924275,139.912077,4.0038017477022585,0,0,0
2023-09-06 17:42:32.406882,339.6220624446869,35.924275,139.912075,3.945603967467729,0,0,0
2023-09-06 17:42:33.401430,340.6166114807129,35.924273,139.912075,3.7346466589854685,0,0,0
2023-09-06 17:42:34.486161,341.70134258270264,35.924273,139.912075,3.7346466589854685,0,0,0
2023-09-06 17:42:35.486501,342.701682806015,35.92427,139.91207,3.2909616120614156,0,0,0
2023-09-06 17:42:36.487458,343.70263934135437,35.924275,139.912063,3.763021287451361,0,0,0
2023-09-06 17:42:37.481430,344.6966109275818,35.924275,139.912059,3.7699412337047606,0,0,0
2023-09-06 17:42:38.480855,345.69603538513184,35.924274,139.91206,3.654117679262885,0,0,0
2023-09-06 17:42:39.504492,346.7196717262268,35.924275,139.912061,3.762155399316593,0,0,0
2023-09-06 17:42:40.498087,347.7132670879364,35.924274,139.912059,3.6592407401718012,0,0,0
2023-09-06 17:42:41.495556,348.7107357978821,35.924275,139.91206,3.764968808028327,0,0,0
2023-09-06 17:42:42.492489,349.7076675891876,35.924276,139.912062,3.8724622088067595,0,0,0
2023-09-06 17:42:43.487007,350.70218801498413,35.924276,139.912063,3.8739342393214975,0,0,0
2023-09-06 17:42:44.496509,351.7116963863373,35.924275,139.912064,3.766699091414348,0,0,0
2023-09-06 17:42:45.530755,352.74593687057495,35.924275,139.912063,3.763021287451361,0,0,0
2023-09-06 17:42:46.526739,353.74191999435425,35.924275,139.912063,3.763021287451361,0,0,0
2023-09-06 17:42:49.562009,356.7771909236908,35.924274,139.912062,3.6505495703888395,1,161.15994386503274,0
2023-09-06 17:42:52.657351,359.87253069877625,35.924274,139.912063,3.6521110467961715,32,5.580153341195796,0
2023-09-06 17:42:55.731768,362.94695520401,35.924273,139.912062,3.539593372314035,68,64.71848384447424,0
2023-09-06 17:42:56.186284,363.40146231651306,35.924271,139.912058,3.335310515164041,94,0,1
